nhatnct@BTN.MX960.202.RE0> show system processes | no-more      
  PID TT  STAT         TIME COMMAND
 5609  -  S         0:46.03 /usr/sbin/dfwd -N
 5610  -  S        73:37.50 /usr/libexec/mosquitto-nossl -c /var/run/mqtt_broke
 5611  -  S        41:48.48 /usr/sbin/bdbrepd -N
 5612  -  I         0:00.01 /usr/sbin/stats-agentd -N
 5613  -  S        27:12.32 /usr/sbin/transportd -N
 5614  -  S         3:31.04 /usr/sbin/agentd -N
 5615  -  S        26:24.45 /usr/sbin/alarm-mgmtd -N
 5617  -  I         0:00.01 nfsd: master (nfsd)
 5801  -  S         7:54.46 nfsd: server (nfsd)
 5910  -  SL      106:47.91 [ppt_11_80000013]
 5915  -  SL       80:15.41 [ppt_11_80000018]
39240  -  Is        0:00.12 sshd: longdh@0,1 (sshd)
39244  -  Is        0:00.10 mgd: (mgd) (longdh)/dev/pts/0 (mgd)
39612  -  Is        0:13.30 mgd: (mgd) (longdh)/dev/pts/1 (mgd)
41875  -  S         0:00.00 sleep 30
41876  -  S         0:00.00 sleep 30
41877  -  Ss        0:00.02 sshd: nhatnct@2 (sshd)
41881  -  Ss        0:00.01 mgd: (mgd) (nhatnct)/dev/pts/2 (mgd)
41886  -  R         0:00.00 /bin/ps -ax
79227  -  SL       57:19.56 [ppt_16_80000118]
80564  -  S         0:38.74 /usr/sbin/datapath-traced -N
80573  -  S         1:42.29 /usr/sbin/spd -N
 6039 u0  Is+       0:00.27 /usr/libexec/getty.real std ttyu0
39243  0  Ss+       0:00.22 -cli (cli)
39610  1  Is+       0:00.01 login [pam] (login)
39611  1  S+        0:42.89 -cli (cli)
41880  2  Ss+       0:00.13 -cli (cli)
